species,family
Abiotrophia_defectiva,Aerococcaceae
Gordonibacter_pamelaeae,Eggerthellaceae
Clostridium_hiranonis,Peptostreptococcaceae
Barnesiella_intestinihominis,Barnesiellaceae
Prevotella_buccalis,Prevotellaceae
Porphyromonas_bennonis,Porphyromonadaceae
Campylobacter_hominis,Campylobacteraceae
Eubacterium_limosum,Eubacteriaceae
Porphyromonas_asaccharolytica,Porphyromonadaceae
Mitsuokella_multacida,Selenomonadaceae
Acidaminococcus_fermentans,Acidaminococcaceae
Eggerthella_lenta,Eggerthellaceae
Shigella_flexneri,Enterobacteriaceae
Bifidobacterium_breve,Bifidobacteriaceae
Fusobacterium_varium,Fusobacteriaceae
Scardovia_wiggsiae,Bifidobacteriaceae
Enterobacteria_phage_HK544,Kwaitsingvirus
Enterococcus_faecalis,Enterococcaceae
Fusobacterium_ulcerans,Fusobacteriaceae
Megasphaera_micronuciformis,Veillonellaceae
Blautia_producta,Lachnospiraceae
Clostridium_hylemonae,Lachnospirales
Plesiomonas_shigelloides,Enterobacteriaceae
Prevotella_bivia,Prevotellaceae
Chlorobium_phaeobacteroides,Chlorobium/Pelodictyon group
Fusobacterium_periodonticum,Fusobacteriaceae
Clostridium_scindens,Lachnospirales
Collinsella_intestinalis,Coriobacteriaceae
Clostridium_nexile,Lachnospiraceae
Streptococcus_gallolyticus,Streptococcaceae
Blautia_hansenii,Lachnospiraceae
Eubacterium_brachy,Peptostreptococcales
Eubacterium_infirmum,Peptostreptococcales
Dasheen_mosaic_virus,Potyvirus
Leuconostoc_lactis,Lactobacillaceae
Enterococcus_faecium,Enterococcaceae
Alternanthera_yellow_vein_betasatellite,Tolecusatellitidae
Clostridium_celatum,Clostridiaceae
Streptococcus_macedonicus,Streptococcaceae
Actinomyces_odontolyticus,Actinomycetaceae
Actinomyces_graevenitzii,Actinomycetaceae
Atopobium_rimae,Atopobiaceae
Granulicatella_elegans,Carnobacteriaceae
Turicibacter_sanguinis,Turicibacteraceae
Streptococcus_lutetiensis,Streptococcaceae
Clostridium_perfringens,Clostridiaceae
Lactobacillus_fermentum,Lactobacillaceae
Haemophilus_haemolyticus,Pasteurellaceae
Klebsiella_phage_JD001,Jedunavirus
